geracao,melhor_medio,pior_medio,media_populacional
618,6096.0000,6094.2667,6095.9267
619,6096.0000,6094.7333,6095.9613
620,6096.0000,6094.4000,6095.9347
621,6096.0000,6094.5333,6095.9467
622,6096.0000,6094.6000,6095.9547
623,6096.0000,6094.5333,6095.9493
624,6096.0000,6094.5333,6095.9560
625,6096.0000,6094.3333,6095.9360
626,6096.0000,6094.7333,6095.9480
627,6096.0000,6095.0000,6095.9680
628,6096.0000,6094.3333,6095.9360
629,6096.0000,6094.6667,6095.9613
630,6096.0000,6094.4667,6095.9440
631,6096.0000,6094.5333,6095.9373
632,6096.0000,6094.4667,6095.9427
633,6096.0000,6094.4667,6095.9387
634,6096.0000,6094.5333,6095.9493
635,6096.0000,6094.5333,6095.9493
636,6096.0000,6094.4000,6095.9453
637,6096.0000,6094.6000,6095.9480
638,6096.0000,6094.3333,6095.9480
639,6096.0000,6094.5333,6095.9467
640,6096.0000,6094.6667,6095.9493
641,6096.0000,6094.5333,6095.9453
642,6096.0000,6094.5333,6095.9453
643,6096.0000,6094.7333,6095.9573
644,6096.0000,6094.3333,6095.9320
645,6096.0000,6094.5333,6095.9520
646,6096.0000,6094.6000,6095.9453
647,6096.0000,6094.6000,6095.9493
648,6096.0000,6094.7333,6095.9600
649,6096.0000,6094.7333,6095.9533
650,6096.0000,6094.4667,6095.9493
651,6096.0000,6094.5333,6095.9493
652,6096.0000,6094.5333,6095.9493
653,6096.0000,6094.4000,6095.9360
654,6096.0000,6094.4000,6095.9427
655,6096.0000,6094.4000,6095.9453
656,6096.0000,6094.4000,6095.9427
657,6096.0000,6094.4000,6095.9467
658,6096.0000,6094.5333,6095.9600
659,6096.0000,6094.4000,6095.9427
660,6096.0000,6094.3333,6095.9413
661,6096.0000,6094.6000,6095.9520
662,6096.0000,6094.5333,6095.9493
663,6096.0000,6094.6667,6095.9453
664,6096.0000,6094.4667,6095.9467
665,6096.0000,6094.7333,6095.9560
666,6096.0000,6094.2000,6095.9427
667,6096.0000,6094.4667,6095.9493
668,6096.0000,6094.4667,6095.9440
669,6096.0000,6094.4667,6095.9493
670,6096.0000,6094.7333,6095.9560
671,6096.0000,6094.8667,6095.9560
672,6096.0000,6094.6000,6095.9560
673,6096.0000,6094.7333,6095.9520
674,6096.0000,6094.6000,6095.9480
675,6096.0000,6094.6000,6095.9533
676,6096.0000,6094.4000,6095.9387
677,6096.0000,6094.5333,6095.9520
678,6096.0000,6094.3333,6095.9347
679,6096.0000,6094.2000,6095.9400
680,6096.0000,6094.6000,6095.9307
681,6096.0000,6094.6000,6095.9453
682,6096.0000,6094.4000,6095.9413
683,6096.0000,6094.6000,6095.9573
684,6096.0000,6094.6667,6095.9440
685,6096.0000,6094.6667,6095.9520
686,6096.0000,6094.5333,6095.9507
687,6096.0000,6094.3333,6095.9387
688,6096.0000,6094.8000,6095.9533
689,6096.0000,6094.6667,6095.9533
690,6096.0000,6094.6000,6095.9533
